date,open,high,low,close,volume
2023-06-20,62.53,62.92,62.47,62.57,6051288
2023-06-21,63.11,63.14,62.69,63.13,6067478
2023-06-22,63.28,63.25,62.6,63.17,7001428
2023-06-23,62.77,63.37,62.71,62.83,7647468
2023-06-26,63.38,63.4,63.27,63.34,3969026
2023-06-27,63.22,63.57,63.14,63.26,6339313
2023-06-28,63.6,63.63,63.54,63.6,2023544
2023-06-29,63.74,63.7,63.62,63.68,3387473
2023-06-30,62.4,62.78,62.1,62.45,4741897
2023-07-03,62.77,62.97,62.12,62.74,6869180
2023-07-04,63.88,64.62,63.72,63.97,6848191
2023-07-05,64.14,64.63,63.64,64.14,7845607
2023-07-06,64.14,64.08,63.69,63.93,6816375
2023-07-07,63.49,63.79,63.59,63.61,7592753
2023-07-10,62.87,63.07,62.52,62.82,4022721
2023-07-11,63.96,64.17,63.47,63.83,6728261
2023-07-12,63.16,63.29,62.72,63.14,2370007
2023-07-13,62.83,63.68,62.63,62.82,4247896
2023-07-14,61.11,61.13,60.96,61.07,7147718
2023-07-17,60.76,60.93,60.71,60.72,6994277
2023-07-18,61.14,61.21,60.93,61.1,2605961
2023-07-19,60.38,61.02,60.25,60.54,5062650
2023-07-20,59.48,59.44,59.07,59.42,7026407
2023-07-21,58.88,59.21,58.71,58.93,4009455
2023-07-24,58.54,58.85,58.63,58.76,4193089
2023-07-25,58.74,58.97,58.81,58.85,7230005
2023-07-26,58.51,58.86,58.13,58.34,6313973
2023-07-27,58.3,58.33,57.88,58.13,6108572
2023-07-28,57.88,57.93,57.59,57.91,3447564
2023-07-31,57.32,57.29,57.22,57.28,2952148
2023-08-01,56.56,56.6,56.37,56.5,7229628
2023-08-02,55.71,55.68,55.29,55.65,2129108
2023-08-03,56.33,56.19,55.89,56.04,3492307
2023-08-04,55.73,56.1,55.97,55.97,3532576
2023-08-07,55.66,55.71,55.3,55.64,2129046
2023-08-08,55.24,55.25,55.11,55.25,6465221
2023-08-09,54.7,55.16,54.38,54.84,7397167
2023-08-10,54.78,55.1,54.65,54.95,6446231
2023-08-11,56.19,56.15,55.99,56.05,2550144
2023-08-14,54.28,54.43,53.9,54.33,6318972
